Lyric,Idiom,Number_of_words
"It's gonna rain some days I know. And things are gonna hurt sometimes that's for sure. But I won't get turned around. 'Cause I keep moving on. I think my mind plays tricks on me. 'Cause sometimes what I get ain't what I see. I just turn it upside down and I keep moving on. I'm gonna race for the morning sun. I can't wait for the day that's on its way. I'm gonna race for the morning sun. And it's gonna shine on me. Oh, it's gonna shine. I'm gonna take everything I want. And won't get lost in what I don't. I just hide it all inside and I keep moving on. I'm gonna race for the morning sun. I can't wait for the day that's on it's way. I gonna race for the morning sun. And it's gonna shine on me. Oh, it's gonna shine a light right down on me. And I swear I'll find where I wanna be. And I'll live the day like it's the only one. I'm gonna race for the sun. Shine a light right down on me. And I swear I'll find where I wanna be. And I'll live the day like it's the only one. I'm gonna race for the sun. Shine a light right down on me. And I swear I'll find where I wanna be. And I'll live the day like it's the only one. I'm gonna race.... I'm gonna race for the sun. Crédito: mandinhacolares",ENGLISH,248
"There's a difference in spending time with me. and killing time while I'm there. on too many people and too many things. and it makes me feel like hell. You're half gone as I can see. and all of this she says to me. [Chorus]. Theres too many questions. and too many strings. and they won't keep theirselves tied. On a roller coaster ride. It feels like I'm lying next to a ghost at night. I dont know why I gave you my heart. cause sometimes it feels so wrong. But in spite of all this weather. I know why we are together. and I swear right now. I know right where I belong. I know I get a little bit crazy. but I've never done you no wrong. I get distracted and carried away. and it's been this way too long. But I dont know what you need from me. cause all I know is what I can see. [Chorus]. I dont know why I gave you my heart. cause sometimes it feels so wrong. But in spite of all this weather. I know why we are together. and I swear right now. I know right where I belong. Im right where I belong. Go on, Play it for me Son. [Chorus]. I dont know why I gave you my heart. cause sometimes it feels so wrong. But in spite of all this weather. I know why we are together. and I swear right now. I know right where I belong. . . Aninha s2 Zeh",ENGLISH,257
"There's one who takes it all, and there's one who takes the fall,. One who never ends, and there's one who stands again,. There's one who lives in pain, and there's one who has no shame,. One to tell the lies, and one to make the alibis.. Round and round and round and round we go,. Where we're gonna stop nobody knows.. There's one who makes the rules, and there's one to plays the fool,. One with jealous hands, and there's one to be the friend,. There's one who wins the fight, and there's one who sleeps at night,. There's one who will stand tall, but we will all fall.. Round and round and round and round we go,. Where we're gonna stop nobody knows.. Something's wrong, I feel it in my soul,. Round and round and round and round we go.. Just to find a way, just to find a way out,. To find a way, just to find a way out,. To find a way, just to find a way out for me.... Just to find a way, just to find a way out,. To find a way, just to find a way out,. To find a way, just to find a way out for me.... Round and round and round and round we go,. (To find a way, just to find a way...). Where we're gonna stop nobody knows.. (Just to find a way, just to find a way...). Something's wrong, I feel it in my soul,. (To find a way, just to find a way...). Round and round and round and round we go,. (To find a way, just to find a way out for me...). Round and round and round and round we go,. (Round and round and round and round we go...). Where we're gonna stop nobody knows,. (Where we're gonna stop nobody knows...). Something's wrong, I feel it in my soul,. (Something's wrong, I feel it in my soul...). Round and round and round and round we go,. (Round and round and round and round we go...). Just to find a way, just to find a way out,. To find a way, just to find a way out,. To find a way, just to find a way out for me.... . (mandinhacolares)",ENGLISH,379
"Do you ever think about running away. 'cause I was thinkin' about leavin' today. We'll follow forever where our hearts wanna go. Maybe we'll live somewhere where nobody knows our names. Then things might change for the good. I wanna be somewhere so far away. To lie under the night at the end of another good day. I can't tell you how long we'll be gone. But as long as we're together then forever's never too long. Too long, oh no. Do you ever think about not comin' back. Hoppin' on a train and we'll burn up the tracks. We'll jump off somewhere that we don't know how to say. Maybe hitch a ride from someone who can tell us the way. To where these things might change for the good. I wanna be somewhere so far away. To lie under the night at the end of another good day. I can't tell you how long we'll be gone. But as long as we're together then forever's never too. Where forever is never too long. Not with you right here by me. Maybe, maybe we'll just see. Where this road will lead for us. I wanna be somewhere so far away. To lie under the night at the end of another good day. I can't tell you how long we'll be gone. But as long as we're together then forever's never too. I wanna be somewhere so far away. To lie under the night at the end of another good day. I can't tell you how long we'll be gone. But as long as we're together then forever's never too. Forever is never too long",ENGLISH,275
"There's too much work and I'm spent. There's too much pressure and I admit. I got no time to move ahead. Have you heard one thing that I've said. And all these little things in life they all create this haze. There's too many things to get done, and I'm running out of days. And I can't last here for so long. I feel this current it's so strong. It gets me further down the line. It gets me closer to the line. And all these little things in life they all create this haze. There's too many things to get done, and I'm running out of days. All these little things in life they all create this haze. There's too many things to get done, and I'm running out of days. Will all these little things in life they all create this haze. And now I'm running out of time I can't see through this haze. My friend tell me why it has to be this way. There's too many things to get done, and I'm running out of days",ENGLISH,181
"She says, I’ve got something to say. She knows what she says well change everything. She led through to many sleepless nights. She’s crying, she’s crying, she’s crying. Mother that man took my soul away. Father how could you ever treat me this way. Brother don’t let him do this again. This time it’s over I’m gonna make it end. Now it’s over and the old man is in. Lying on the ground bullet in his head. She stood at the foot of the guilty bed last night. She held what she said for the rest of her life. She did all what see said she is gonna do. She’s through, she’s through, she’s through, yeah. Mother that man took my soul away. Father how could you ever treat me this way. Brother don’t let him do this again. This time it’s over I’m gonna make it end. Now it’s over and the old man is in. Lying on the ground bullet in his head. There’s a bullet in your head. I kept falling down, I kept falling down. I kept crying out, I kept crying out. I keep falling down, I keep falling down. I’m ready, I’m ready, I’m ready. Now it’s over, this is what she said. He’s lying on the ground bullet in his head",ENGLISH,218
The open wound she hides. She just keeps it bundled up. And never lets it show. She can't take much more of this. But she can't let it go. And that's ok... She don't want the world. And all the things she says. He's just lying there. Without someone to hear her cry. She slips off into a dream. About a place to hide. And that's ok... She don't want the world. This love she feels. Everything she's havent known. Or ever thought was real. Seems like it's been thrown away. Now how she gonna live. It's ok... She don't want the world. Those words she never spoke. Hold a life of memories of all the times before. She tried to show him love. While he would only ask for more. But its ok... She don't want the world. Softly in her sleep. Pictures of the life she's longing for slowly appear. She has seen them all before. But somehow never quite this clear. She just smiles... She don't want the world. This love she feels. Everything she's havent known. Or ever thought was real. Seems like it's been thrown away. Now how she gonna live. It's ok... She don't want the world. A brand new morning shines. She wakes up alone again. This time to face the day. She swears this time to make it. As she simply walks away. And it's ok... She don't want the world,ENGLISH,239
She walks through the city. No one recognizes her face. They don't want her pity. No one ever mentions her name. She's carried the broken. But their scars have no name in her heart. 'Cause she walks in forgiveness. She'll shine like a light in the dark. She is love. She is love. She is love. She is love. She'll always remember. The days when they welcomed her here. They know if they need her. She made a promise to always be here. She is love. She is love. She is love. She is love. When they are weak she will always be strong. Though they don't know it they're never alone. No matter how many times they may leave. It's never hopeless 'cause she still believes. She is love. She is love. She is love. She is love. She is love. She is love. Crédito: mandinhacolares,ENGLISH,147
"This is about to be history,. Nobody's gonna take it from me. I'm gonna show you something you've got to see. Trust me people will remember this day cause. It's my time to shine. Cause I know what could be mine. It's all layin on the line so. It's my time.. It's my time to shine. I think about this moment day and night. This is the only thing that I've ever known. I believe I can and I think I'm right. I'm gonna take this back to where it belongs cause. It's my time to shine. Cause I know what could be mine. It's all layin on the line so. It's my time. It's my time to shine. I'll shine. I'll shine. It's my time to shine. I know what could be mine. It's all layin on the line so. It's my time. It's my time to shine",ENGLISH,149
"Rubber headed motor junky, run me down. And try to stomp me. Throw my life away, and I'll be worthless. Just like you. Somewhere now a baby's crying, down the. Road his mother's dying. Shot a line and blew her mind and now. She's turning blue. Don't you throw your life away, just wait. Until another day. Don't you throw your life away, cause. Baby I can feel it. Don't you ever compromise it, don't you. Even realize it. Don't throw your life away, cause baby I can feel it, now. Trip and fall,. I'm sure you all can tell me. What is on the wall. Behind the liquor store where you get. Smacked up all the time. Perfect little life you wasted, overdosed. And that death you tasted. Scared you back into yourself, and now. You walk the line. Don't you throw your life away, just wait. Until another day. Don't you throw your life away, cause. Baby I can feel it. Don't you ever compromise it, don't you. Even realize it. Don't throw your life away, cause baby I can feel it, now. Life away. Life away. Life away",ENGLISH,191
"If you could step. Into my head, tell. Me would you still love me?. If you woke up in my bed. Tell me then would you hold me?. Or would you simply let it lie. Leaving me to wonder why. I cant get you out of this head. I call mine. And I will say. Oh no I can't let you go. My little girl. Because you are holding up my world. So I need you. Your imitation of my walk. And the perfect way you talk. Its just a couple of the million things. That I love about you. So I need you. So I need you. So I need you. So I need you. And if I jumped off the Brooklyn Bridge. Tell me would you still follow me. And if I made you mad today. Tell me would you love me tomorrow?. Please. Or would you say that you dont care. And then leave me standing here. Like the fool who is drowning in dispair. And screamina. Oh no I can't let you go. My little girl. Because you are holding up my world. So I need you. Your imitation of my walk. And the perfect way you talk. Its just a couple of the million. Things that I love about you. So I need you. So I need you. So I need you. So I need you. I am on my own. I am on my own. I am on my own. Oh no I can't let you go. My little girl. Because you are holding up my world. So I need you. Your imitation of my walk. And the perfect way you talk. Its just a couple of the million things. That I love about you. So I need you. So I need you. So I need you. So I need you!",ENGLISH,307
This is the story of a girl. Who cried a river and drowned the whole world. And while she looks so sad in photographs. I absolutely love her. When she smiles.. How many days in a year. She woke up with hope but she only found tears?. I can be so insincere. Making the promises never for real. As long as she stands there waiting. Wearing the holes in the souls of her shoes. How many days disappear?. You look in the mirror so how do you choose?. And the clothes that you wear. Look swell the next day. Your hair never falls in quite the same way. You never seem to run out of things to say.. This is the story of a girl. Who cried a river and drowned the whole world. And while she looks so sad in photographs. I absolutely love her. When she smiles.. How many lovers would stay?. Just to put up with this shit day after day. How did we wind up this way?. Watching our mouths for the words that we say. As long as we stand here waiting. Wearing the clothes on the souls of our shoes. How do we get there today?. When we're walking too far for the price of her shoes.. And the clothes that you wear. Look swell the next day. Your hair never falls in quite the same way. You never seem to run out of things to say.. This is the story of a girl. Who cried a river and drowned the whole world. And while she looks so sad in photographs. I absolutely love her. When she smiles.. And the clothes that you wear. Look swell the next day. Your hair never falls in quite the same way. You never seem to run out of things to say.. This is the story of a girl. Who cried a river and drowned the whole world. And while she looks so sad in photographs. I absolutely love her.. This is the story of a girl. Her pretty face she hid from the world. And while she looks so sad and lonely there. I absolutely love her.. This is the story of a girl. Who cried a river and drowned the whole world. And while she looks so sad in photographs. I absolutely love her. When she smiles!. When she smiles!,ENGLISH,394
"I took a walk arround the world to. Ease my troubled mind. I left my body laying somewhere. In the sands of time. I watched the word float to the dark. Side of the moon. I feel there is nothing I can do. Yeah.... I whatched the world float to the dark. Side of the moon. After all I knew it had to be something. To do with you. I really don't mind what happens now and then. As long as you'll be my friend at the end. If i go crazy then will you still call me Superman?. If i'm alive and well,. Will you be there holding my hand?. I'll keep you by side. With my superhuman might. Kryptonite. You called me strong, you called me weak. But still your secrets I will keep. You took for granted all the times. I never let you down. You stumbled in and bumped your head,. If not for me then you would be dead. I picked you up and put you back. On solid ground. If go crazy then will you still call me Superman?. if i'm alive and well,. Will you be there holding my hand?. I'll keep by my side. With my superhuman might. Kryptonite (...3x). .... By: Cláudio Santos (Pt)",ENGLISH,213
"Whiskey bottles, and brand new cars. Oak tree you're in my way. There's too much coke and too much smoke. Look what's going on inside you. Ooooh that smell. Can't you smell that smell. Ooooh that smell. The smell of death surrounds you. Angel of darkness is upon you. Stuck a needle in your arm. So take another toke, have a blow for your nose. One more drink fool, will drown you. Ooooh that smell. Can't you smell that smell. Ooooh that smell. The smell of death surrounds you. Now they call you Prince Charming. Can't speak a word when you're full of 'ludes. Say you'll be all right come tomorrow. But tomorrow might not be here for you. Ooooh that smell. Can't you smell that smell. Ooooh that smell. The smell of death surrounds you. Hey, you're a fool you. Stick them needles in your arm. I know I been there before. One little problem that confronts you. Got a monkey on your back. Just one more fix, Lord might do the trick. One hell of a price for you to get your kicks. Ooooh that smell. Can't you smell that smell. Ooooh that smell. The smell of death surrounds you. Ooooh that smell. Can't you smell that smell. Ooooh that smell. The smell of death surrounds you.",ENGLISH,219
I'm about to be on the floor again. Surely you're gonna find me here. I'm about to sleep until the end of time. Drug I take won't wake my fear right now. I'm passing away onto the better life. I'm passing away onto the better!. I'm about to see just how far I can fly. Surely you're gonna break my fall. I'm about to run as fast as I can. Head along into that wall. It's time. I'm passing away onto the better life. I'm passing away onto the better!. On to the better life. On to the better.... I'm about to be on the floor again. Surely you're gonna find me here. I'm about to sleep until the end of time. The drug I take won't wake my fear right now. I'm passing away onto the better life. I'm passing away onto the better!. I'm passing away onto the better life. I'm passing away onto the better!. On to the better,ENGLISH,162
"(This city is to come to the broken, the broken). Take it from me. They don't hear if you're lonely. As you can see. They don't care if you're scared. Your heart is the only friend you have in this whole world. Don't start, think you can do this yourself. This is the call out. This city is to come to the broken. To all the ones who been thrown away. This city is to come to the broken. Stand up and take back your world today. (Stand up). I know what you're thinking. You say you're tired of keeping score. Just me, you're not the only one going through this. You see, I've been through this before (this before). This is the call out. This city is to come to the broken. To all the ones who been thrown away. This city is to come to the broken. Stand up and take back your world today. This city is to come to the broken. To all the ones who been thrown away. This city is to come to the broken. Stand up and take back your world today. They found their screams in a weakness to keep us there where we fall down. But now we hold on to pieces to change the world this is the call out. This city is to come to the broken. To all the ones who been thrown away. This city is to come to the broken. Stand up and take back your world today. This city is to come to the broken. To all the ones who been thrown away. This city is to come to the broken. Stand up and take back your world today. . |. |. |",ENGLISH,288
"You said that mountains too high,. You said that oceans too wide. I've heard all new beginings. started with an end. Watch this journey I take,. turn into something I make. Please watch closely,. you may not see this again. Cause I, know I,. I was born to be this way. Everyday I try and I'll do. everything that it takes. to become the one. what I've always wanted to be. Watch right now. and you will see the champion in me. The champion in me. When the others cower,. I'm in my finest hour. We are champions created by design. While I remember falling,. I hear these dreams keep calling. I work so hard, so long,. I'll take it what is mine. Cause I, know I,. I was born to be this way. Everyday I try and I'll do. everything that it takes. to become the one. what I've always wanted to be. Watch right now. and you will see the champion in me. The champion in me. Champion, champion in me,. champion, champion. Cause I, know I,. I was born to be this way. Everyday I try and I'll do. everything that it takes. to become the one. what I've always wanted to be. Watch right now. and you will see the champion in me. The champion in me",ENGLISH,221
I wanted to find somewhere to hide. And i opened up and left those fears inside. And i wanted to be in near on this. Only to find that there was noone there but me. But i woke up to real life. And i realised its not worth running from anymore. When there was nowhere left to hide i found out. That nothings real here but i wont stop now until i find a. Better part of me. I let those hard days get me down. And all the things i hate got in my way. I could of screamed without a sound. I found myself silenced by those things they say. But i woke up to real life. And i realised its not worth running from anymore. When there was nowhere left to hide i found out. That nothings real here but i wont stop now until i find a. Better part of me. Thats out there somewhere. And it cant be that far away. Thats where ill find myself. And ill find my way out. Thats where ill find out. But i woke up to real life. And i realised its not worth running from anymore. When there was nowhere left to hide i found out. That nothings real here but i wont stop now until i find a. Better part of me,ENGLISH,225
"She said life's a lot to think about sometimes. When you're living in between the lines. And all the stars they sparkle and shine everyday. He said life's so hard to move in sometimes. When it feels like I'm towin' the line. And no one even cares to ask me why I feel this way. I know you feel helpless now. And I know you feel alone. That's the same road. The same road that I'm on. He said life's a lot to think about sometimes. When you keep it all between the lines. Of everything I want and I want to, find, one of these days. What you thought was real in life. Somehow steered you wrong. And now you just keep drivin'. Tryin' to find out where you belong. And I know you feel helpless now. And I know you feel alone. That's the same road. The same road, that I am on. What you thought was real in life. Somehow steered you wrong. Now you just keep drivin'. Tryin' to find where you belong. I know you feel helpless now. And I know you feel alone. That's the same road, the same road, that I am on",ENGLISH,200
This world asks for so much. Despite what you give it's just never enough. Then you're left cold tired and alone. Searching for something that's already gone. You try not to be afraid. Bound down by all of these things that they say. And you feel like you're all by yourself. But I'll be right here when there's nothing else. Lay down. Rest here in peace in my arms now. Knowing you're safe. From the storms and the rain. And from all of your pain. And I'll be here when only the silence remains. Only the silence remains. Your fears they know that you're scared. Wherever you go they seem to meet you there. And you face them all on your own. Never the weak always the strong. And you win most of the time. Never once claiming that victory's mine. And you carry this burden alone. But this candle's burned at both ends for so long. Lay down. Rest here in peace in my arms now. Knowing you're safe. From the storms and the rain. And from all of your pain. And I'll be here when only the silence remains. Lay down. Lay down. Lay down. Rest here in peace in my arms now. Knowing you're safe. From the storms and the rain. And from all of your pain. And I'll be here when only the silence remains. Rest here in peace in my arms now. Knowing you're safe. From the storms and the rain. And from all of your pain. And I'll be here when only the silence remains,ENGLISH,261
"When the days all seem to count for nothing. Is the hope that I hold onto now gonna count for something?. When the nights all feel like they're running together. That's when I keep on dreamin' about things getting better forever. All the days that come and go. Across the miles so far from home. All I find roads that ramble on and on and on. There's a life, there's a life that I'm missin'. So much more than I can see. There's a life, there's a life that I'm chasin'. That always stays one step ahead of me. Out of reach but I know that I'm getting closer. I believe that as long as I breathe that the dream's never over. Inside myself I try to find a way to keep this hope alive. I hold the line that keeps me hanging on and on and on. There's a life, there's a life. There's a life, there's a life I see. There's a life, there's a life. There's a life, there's a life for me",ENGLISH,176
"I think I was better off before this all began. So clear that I can see lately that you don't know who I am. Everybody tried to tell me something that I never could believe. Staring back it seemed so much different than it did in front of me. But I know. There's no good in looking back on yesterday. And wondering what could have happened then. And you think you can give me what I want. You say, you say. I think I'm better off alone. These days, these days. Why should I put my trust in something. That I never could believe?. So one day you can find something better. Just to pack your things and leave. Loneliness is a friend for the moment. But you won't walk out on me. And I know. There's no good in looking back on yesterday. And wondering what could have happened then. And you think you can give me what I want. You say, you say. I think I'm better off alone. These days, these days. I'm tired and I'm sick of waiting. Maybe I'll die alone. 'Cause I can't take another damn day of waiting. Here for you to come.. To me. Yeah!. Baby baby please, tell me why!. And you think you can give me what I want. You say, you say. I think I'm better off alone. These days, these days. You think you can give me what I want. You say, you say. I think I'm better off alone. These days, these days",ENGLISH,256
"Unsure of yourself. You stand divided now. Which road will lead you there. Last time you fell and you hit hard. Your wounds have healed by now. But you still see your scars yeah. But it’s not the way it use to be right now. You come so far to just let this go my friend. The same way you did the last time. You’ll break when you fall. Don’t make the same mistakes you did all over. You’ve got to believe in yourself this time. Live on, live it up today. This life’s your cup. So drink it up I say, yeah. Say it’s mine so give it all up to me now. And walk that line, don’t let this go, don’t go out the. Same way you did the last time. Your break when you fall. Don’t make the same mistakes you did all over. You’ve got to believe in yourself this time. Life’s your cup, life’s your cup. Drink it up. Life’s your cup, life’s your cup. The same way you did the last time. You’ll break when you fall. Don’t make the same mistakes you did all over. You got to believe in yourself this time [x2]",ENGLISH,201
"I'm walking a wire, it feel likes a thousand ways I could fall. To want is to buy, but to live is to die and you can't take it all. And everything is said and done I won't have one thing left. What happened to everything that I ever known. 'Cause all he gave me was this ticket to heaven,. That ticket to heaven,. Said to lie in the bed that you make. And now I'm restless and I'm running from everything,. I'm running from everything, I'm afraid it's a little too late. It's a voices lie, innocents die. And all your dreams, and all your money they don't mean a thing. When everything is said and done, you won't have one thing left. What happened to everything that I ever known. 'Cause all he gave me was this ticket to heaven,. That ticket to heaven,. Said to lie in the bed that you make. And now I'm restless and I'm running from everything,. I'm running from everything, I'm afraid it's a little too late. It's a little too late. 'Cause all he gave me was this ticket to heaven,. That ticket to heaven,. Said to lie in the bed that you make. And now I'm restless and I'm running from everything,. I'm running from everything, I'm afraid it's a little too late. And all he gave me was this ticket to heaven,. That ticket to heaven,. Said to lie in the bed that you make. And now I'm restless and I'm running from everything,. I'm running from everything, I'm afraid it's a little too late. It's a little too late",ENGLISH,271
"Another day, in some other place. Can someone please remind me where the hell we are. Another night i feel it come to life. How could this go so far?. The life I love is the one I lead. It get's crazy but thats fine by me. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. The words you say bring back memories. of so many days that have gone. I look back and smile at those forgotten miles. and laugh at all that went wrong. What I am is what I want. And I'll be this way 'til I'm dead and gone. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. For me, that's all I need. To live the way. To live the way I please. The life I love is the one I lead. It get's crazy but thats fine by me. Cause I dont see the day. When I run all night. But I've got to say theres no other way. Cause I'm having the time of my life. There some things that I can't make right. And it's been so long since I've been home. But I'm having the time of my life. . (mandinhacolares)",ENGLISH,238
Put me on a train mama. 'cause things just ain’t the same no more. Put me on a train mama. I'm leavin’ today. I don’t want to watch the world spinnin’. I want to be spinning with it. Put me on a train mama. I'm leavin’ today. 'Cause I’ve got the feeling that’s for sure. And to know that I can get it makes me want it more. Mama I just want you to know that I’m gonna be fine. Lord I know it’s a chance that I take. But I know you’ll forgive the mistakes that I make. There’s a life out there and it’s gonna be mine. Put me on a train mama. 'cause I can’t take this pain no more. Put me on a train mama. I'm leaving today. There’s a world that’s out there waitin’. And I know that it’s a chance I’m takin’. Put me on a train mama. I'm leaving today. 'Cause I’ve got the feeling that’s for sure. And to know that I can get it makes me want it more. Mama I just want you to know that I’m gonna be fine. Lord I know it’s a chance that I take. But I know you’ll forgive the mistakes that I make. There’s a life out there and it’s gonna be mine. God knows how long I’ll be gone. But maybe one day this train will bring me home. Put me on a train mama. Ooo put me on a train mama. Put me on a train mama. I'm leaving today. 'Cause I’ve got the feeling that’s for sure. And to know that I can get it makes me want it more. Mama I just want you to know that I’m gonna be fine. Lord I know it’s a chance that I take. But I know you’ll forgive the mistakes that I make. There’s a life out there and it’s gonna be mine. Put me on a train mama. I'm leavin’ today,ENGLISH,329
"Things that they say. I'm so tired of games that they play. Always pretending that they know. what comes at the ending. Well they brought the lies and believe there's no freedom. We'll be the ones who can say we don't need them. Come on, come on. Let's enjoy the ride. Cause we only know what's inside of these lights. And I wanna know what's on the other side. And we'll keep on going until there's only us and the night. Some people pay to make us believe the things that I say. But I don't. What they don't know. is we got so much more than we show. They only want us to think that they're stronger. Now we don't have to pretend any longer. Come on, come on. Let's enjoy the ride. Cause we only know what's inside of these lights. And I wanna know what's on the other side. And we'll keep on going until there's only us and the night. I've spent my whole life waiting for this day to come. Now at last I see I'm not the only one. So come on, come on. Come on, come on. Come on, come on. Come on, come on. Let's enjoy the ride. Cause we only know what's inside of these lights. And I wanna know what's on the other side. And we'll keep on going until there's only us and the night. Come on, come on. Let's enjoy the ride. Ooh, cause we only know what's inside of these lights. And I wanna know what's on the other side. And we'll keep on going until there's only us",ENGLISH,272
"Save me now. Fallin' to pieces. Losin' my soul. Losin' achievements. This world chooses others than me. Forget this world. It's wasted me. (Chorus). It's all here and I've got it together,. I'm fallin' apart and I'm throwin' away again.. I can't seem just to see tomorrow,. But I can see that it's wasted me. Fallin' down. Breakin' to bleed this blazin' machine. I can't repeat this killin' my soul someone can feed me. All of this mess has wasted me. (Chorus). It's all here and I've got it together,. I'm fallin' apart and I'm throwin' away again.. I can't seem just to see tomorrow,. But I can see that it's wasted me.",ENGLISH,113
"A few pictures, two tickets from a trip we took last year. A handful of memories, some still seem clear. A few regrets, a couple of melodies, that remind me of you. Well I can say that I won't miss this, but that wouldn't be the truth. There's no one here to blame, this is the only way. There's nothing left for us, to say. It's time to let you go, it's what we had to do. It's time to give this up, I think we both knew. There's nothing left to say, there's nothing left to prove. And now it's time to turn and walk away from, what's left of me and you. What's left of me and you. Box them in, that ol' t-shirt, still brings me back to you. A few more hours in the day, not sure what I should do. There's no one here to blame, and this is the only way. There's nothing left for us, to say. It's time to let you go, it's what we had to do. It's time to give this up, I think we both knew. There's nothing left to say, there's nothing left to prove. And now it's time to turn and walk away from, what's left of me and you. You're the best I'll ever give up. And it's hard to see the truth, when you think you're still in love. The only way to get on with my life, is to say goodbye. So goodbye. It's time to let you go, it's what we had to do. It's time to give this up, I think we both knew. There's nothing left to say, there's nothing left to prove. And now it's time to turn and walk away from, what's left of me and you. What's left of me and you. A few pictures, two tickets, from a trip we took last year. A handful of memories, some still seem clear. Crédito: mandinhacolares",ENGLISH,326
"There's another world inside of me that you may never see. There's secrets in this life that I can't hide. Somewhere in this darkness there's a light that I can't find. Maybe it's too far away, or maybe I'm just blind. Maybe I'm just blind. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down, even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. But you won't always be there. So love me when I'm gone. Love me when I'm gone. When your education x-ray cannot see. under my skin. I won't tell you a damn thing that I could not tell my friends. Now roaming through this darkness I'm alive but I'm alone. Part of me is fighting this but part of me is gone. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. You won't always be there. So love me when I'm gone. Maybe I'm just blind. So hold me when I'm here. Right me when I'm wrong. Hold me when I'm scared. And love me when I'm gone. Everything I am and everything in me. Wants to be the one,be the one,you wanted me to be. I'll never let you down even if I could. I'd give up everything if only for your good. So hold me when I'm here. Right me when I'm wrong. You can hold me when I'm scared. You won't always be there. So love me when I'm gone. Love me when I'm gone",ENGLISH,366
You must be happy with yourself. Think you're so much better than me. Why do you love to see me fail so much?. 'cause on that day you crawl back on your knees. Tell me who will save you. When there's no one else around. And you can't turn to me?. Tell me where will you be?. When it's over. And all this pride you hold inside is gone. Tell me where will you hide?. When it's over. Everything you know is said and done. When it's over where will you run?. Do your memories haunt your dreams?. Do they simply seem to have a mind of their own?. Tell me what the emptiness brings. Everything you know is everything but gone. Tell me who will save you. When there's no one else around. And you can't turn to me?. Tell me where will you be?. When it's over. And all this pride you hold inside is gone. Tell me where will you hide?. When it's over. Everything you know is said and done. When it's over where will you run?. You can't hold your world together now. Everyone sees who you really are. When your castle crumbles at your feet. Don't you run to me. When it's over.... And all this pride you hold inside is dying.... Where will you hide?!. When it's over. And all this pride you hold inside is gone. Tell me where will you hide?. When it's over. Everything you know is said and done. When it's over where will you run?,ENGLISH,257
So far away from knowing where I'm going. And trying hard to find out who I am. They all say that I don't know what I'm doing. I say they don't hardly understand. Why can't they remember. What I'll never forget. How these dreams can come undone. When you're young. (Chorus). You give what you give 'cause they make you. Trapped inside a place that won't take you. They want you to be what they make you. It's already over and done. When you're young. Everything seems perfect. Everything's okay. It will all get better now. At least that's what they say. But I don't see it coming. You give what you give 'cause they make you. Trapped inside a place that won't take you. They want you to be what they make you. It's already over and done. When you're young. Days really just seem longer. They say it's better this way. I hope one day I am stronger than I feel. And I hope it feels different than today. You give what you give 'cause they make you. Trapped inside a place that won't take you. They want you to be what they make you. It's already over and done. It's already over and done. It's already over and done. When you're young. Why can't they remember. What I'll never forget. How these dreams can come undone. When you're young,ENGLISH,232
"Light me a candle, I’m comin’ home.. Then leave it by your side where I belong.. I’ve been in this cold world for so long.. So Light me a candle, I’m coming home.. I wanna feel the love that’s in the hearts;. Of all the ones that make us who we are. Thankful for the ones we have and what we have to give. In this heart set loves,. that’s where my Christmas lives.. Snow on the window, asleep by the fire. Somehow these children never get tired. Missing the ones that, we wish were here. Remembering the ones who look on but we don’t shed a tear. I wanna feel the love that’s in the hearts;. Of all the ones that make us who we are. Thankful for the ones we have and what we have to give. In this heart set loves,. that’s where my Christmas lives.. In these heart set loves,. that’s where my Christmas lives. All along the halls are ringing,. choirs singing Christmastime is gone,. in trees the lights are streaming,. children gleaming christmastime is gone,. oooh we still knowing christmas time is gone. ooooh we still knowing. I wanna feel the love that's in the hearts;. of all the ones that make us who we are. thankful for the ones we have and what we have to give. in this heart set loves,. that's where my Christmas lives (x3)",ENGLISH,235
You're not what I need anymore. Forget those games you're playin'. You're not what I need anymore. I can't hear what you're saying. If you won't listen to me. How can you tell me how I feel?. All along I told you. That I cannot feel the pain. Who are you to tell me. I'm not good enough?. All I've ever wanted was a place. inside of you. Why should I hear what you say any longer?. When you don't even know where I've been. I feel something in me getting stronger. And I won't get kicked around again. If you won't listen to me. How can you tell me how I feel?. All along I told you. That I cannot feel the pain. Who are you to tell me. I'm not good enough?. All I've ever wanted was a place. inside of you. If you won't listen to me. How can you tell me how I feel?. All along I told you. That I cannot feel the pain. Who are you to tell me. I'm not good enough?. All I've ever wanted was a place. inside of you. You're not what I need anymore!,ENGLISH,195
